province,commune,tax_raised,taxes_forecast_score,number_personnel,procurement,meetings_held2,region,meeting_score,meetings_held,attendance_score,average_attendance,procurement_score,tax_score,taxes_forecast,commune_type,meeting_score2
COM,BANFORA,4551,9,7,95.0,0,CAS,5,4,10,251,16,15,98.19,Urbain,0
COM,BEREGADOUGOU,847,0,8,76.0,0,CAS,5,4,4,60,10,4,46.09,Rurale,0
COM,MANGODARA,117,0,4,76.0,0,CAS,4,3,10,186,10,1,26.15,Rurale,0
COM,MOUSSODOUGOU,330,0,3,95.0,0,CAS,5,4,1,56,16,2,36.06,Rurale,0
COM,NIANGOLOKO,1473,6,7,48.0,0,CAS,4,3,10,124,4,7,85.39,Urbain,0
COM,OUO,158,0,3,100.0,0,CAS,5,4,10,119,18,1,45.97,Rurale,0
COM,SIDERADOUGOU,293,1,9,84.0,0,CAS,5,4,10,225,11,2,62.84,Rurale,0
COM,SOUBAKANIEDOUGOU,1025,10,5,80.0,0,CAS,0,0,0,0,11,5,141.49,Rurale,0
COM,TIEFORA,168,0,6,92.0,0,CAS,5,4,10,135,14,1,30.31,Rurale,0
LER,DAKORO,139,3,6,80.0,0,CAS,4,3,0,33,11,1,71.39,Rurale,0
LER,DOUNA,2554,10,7,100.0,2,CAS,4,3,1,57,18,11,106.96,Rurale,4
LER,KANKALABA,232,10,5,98.0,0,CAS,4,3,1,50,16,2,157.18,Rurale,0
LER,LOUMANA,210,10,6,100.0,0,CAS,4,3,10,100,18,2,125.15,Rurale,0
LER,NIANKORODOUGOU,859,10,6,81.0,0,CAS,5,4,10,103,11,4,276.57,Rurale,0
LER,OUELENI,150,9,5,30.0,0,CAS,5,4,6,80,2,1,96.99,Rurale,0
LER,SINDOU,791,0,6,90.0,1,CAS,4,3,4,74,14,4,52.12,Urbain,2
LER,WOLONKOTO,16229,0,5,0.0,0,CAS,5,4,1,50,0,25,0,Rurale,0
