COMMUNE,Population 2006,projected_population,Population desservie,Population non desservie,access
BAGASSI,29507,33733,28254,5479,83.7577446417
BANA,13003,14862,11925,2937,80.2381913605
BOROMO,15255,17439,13552,3887,77.7108779173
FARA,37167,42490,32824,9666,77.2511179101
OURY,26800,30634,24947,5687,81.4356597245
PA,19755,22584,15343,7241,67.9374778604
POMPOI,11032,12611,10792,1819,85.5760843708
POURA,10783,12325,4374,7951,35.4888438134
SIBY,14050,16061,11625,4436,72.3803001058
YAHO,16433,18782,14384,4398,76.5839633692
BALAVE,16199,18519,10168,8351,54.9057724499
KOUKA,46240,52866,24252,28614,45.874475088
SAMI,8452,9660,4868,4792,50.3933747412
SANABA,33010,37731,17980,19751,47.6531234264
SOLENZO,99659,113929,38660,75269,33.9334146705
TANSILA,29470,33694,22157,11537,65.7594824004
BARANI,43342,49546,27302,22244,55.1043474751
BOMBOROKUY,14026,16032,9389,6643,58.5641217565
BOURASSO,10984,12557,7847,4710,62.4910408537
DJIBASSO,48970,55975,25405,30570,45.3863331845
DOKUY,26240,29992,16870,13122,56.2483328888
DOUMBALA,27355,31270,21913,9357,70.0767508794
KOMBORI,9773,11171,7800,3371,69.8236505237
MADOUBA,5835,6669,5530,1139,82.9209776578
NOUNA,49772,56896,32137,24759,56.4837598425
SONO,7440,8505,7467,1038,87.7954144621
BONDOKUY,49779,56912,28743,28169,50.5042873208
DEDOUGOU,48099,54984,27546,27438,50.0982103885
DOUROULA,12800,14631,11172,3459,76.3584170597
KONA,19604,22416,14802,7614,66.0331905782
OUARKOYE,38746,44292,26590,17702,60.0334146121
SAFANE,48913,55916,37378,18538,66.8466986194
TCHERIBA,39708,45397,21860,23537,48.1529616494
GASSAN,30331,34671,25845,8826,74.5435666696
GOSSINA,18438,21075,12250,8825,58.1257413998
KOUGNY,15944,18228,13657,4571,74.9231950845
TOMA,17049,19493,12614,6879,64.7104088647
YABA,31622,36146,29581,6565,81.8375477231
YE,35569,40660,23112,17548,56.8421052632
DI,23864,27281,12659,14622,46.4022579817
GOMBORO,13774,15746,12253,3493,77.8165883399
KASSOUM,20972,23971,17715,6256,73.9017980059
KIEMBARA,29266,33454,22268,11186,66.5630417887
LANFIERA,18815,21508,15155,6353,70.4621536173
LANKOUE,16140,18447,11724,6723,63.5550496016
TOENI,29162,33336,16956,16380,50.8639308855
TOUGAN,50534,57766,36667,21099,63.4750545303
,1279681,1462863,878312,584551,60.040618978
BANFORA,33906,46706,35905,10801,76.8744915
BEREGADOUGOU,11884,16370,6147,10223,37.5503970678
MANGODARA,51801,71344,31400,39944,44.0121103386
MOUSSODOUGOU,10437,14371,7483,6888,52.0701412567
NIANGOLOKO,31829,43834,24033,19801,54.8273030068
OUO,23506,32356,18583,13773,57.4329336135
SIDERADOUGOU,75387,103835,49216,54619,47.3982761111
SOUBAKANIEDOUGOU,28070,38651,23392,15259,60.5210731934
TIEFORA,41772,57533,27140,30393,47.172926842
DAKORO,13228,18218,10158,8060,55.7580414974
DOUNA,9045,12457,10264,2193,82.3954403147
KANKALABA,9666,13321,8648,4673,64.9200510472
LOUMANA,24260,33417,18435,14982,55.1665320047
NIANKORODOUGOU,34138,47017,26082,20935,55.4735521194
OUELENI,11671,16081,9652,6429,60.0211429637
SINDOU,13267,18268,5192,13076,28.421283118
WOLONKOTO,3800,5230,3090,2140,59.0822179732
KOMKI-IPALA,20565,21758,18210,3548,83.6933541686
KOMSILGA,28877,30558,29995,563,98.1576019373
KOUBRI,43932,46489,32810,13679,70.5758351438
OUAGADOUGOU,57926,61291,36962,24329,60.3057545153
PABRE,27897,29515,28172,1343,95.4497713027
SAABA,26937,28496,25297,3199,88.7738629983
TANGHIN-DASSOURI,39164,41438,35632,5806,85.9887060186
BAGRE,29164,33407,24276,9131,72.6674050349
BANE,23711,27161,21638,5523,79.6656971393
BEGUEDO,19153,21941,18660,3281,85.0462604257
BISSIGA,20997,24056,19027,5029,79.0946125707
BITTOU,52181,59776,23881,35895,39.9508163812
BOUSSOUMA,26753,30643,26509,4134,86.5091538035
GARANGO,38663,44292,37286,7006,84.1822451007
KOMTOEGA,20674,23681,22776,905,96.1783708458
NIAOGO,18975,21734,18611,3123,85.6308088709
TENKODOGO,80593,92318,70902,21416,76.8019237852
ZABRE,82910,94977,62967,32010,66.2971035093
ZOAGA,10812,12384,7890,4494,63.7112403101
ZONSE,19848,22734,16614,6120,73.0799683294
COMIN-YANGA,40836,46781,26243,20538,56.0975609756
DOURTENGA,8958,10264,7403,2861,72.1258768511
LALGAYE,15100,17299,12530,4769,72.4319324816
OUARGAYE,32660,37412,9577,27835,25.5987383727
SANGA,39989,45806,27080,18726,59.1188927215
SOUDOUGUI,46413,53170,25595,27575,48.1380477713
YARGATENGA,40848,46791,21826,24965,46.645722468
YONDE,26142,29947,19472,10475,65.0215380506
ANDEMTENGA,48892,56001,43265,12736,77.2575489723
BASKOURE,11720,13423,13110,313,97.6681814796
DIALGAYE,36890,42262,37773,4489,89.3781647816
GOUNGHIN,33902,38834,34827,4007,89.6817222022
KANDO,28278,32399,25733,6666,79.425290904
KOUPELA,30263,34663,28857,5806,83.2501514583
POUYTENGA,14631,16759,15274,1485,91.1390894445
TENSOBENTENGA,19907,22802,21587,1215,94.6715200421
YARGO,14487,16590,15857,733,95.5816757083
BOURZANGA,47751,56148,32645,23503,58.1409845409
GUIBARE,23460,27585,21474,6111,77.8466557912
KONGOUSSI,46989,55246,44297,10949,80.181370597
NASSERE,10393,12224,9895,2329,80.9473167539
ROLLO,27245,32035,23303,8732,72.7423130951
