Source,Commune,ï»¿SubmissionDate,start,end,today,deviceid,info_note,consentement,consentement_note,region,province,district,commune,commune_checked,sd_a_01-projected_deliveries_1,sd_a_01-assisted_deliveries_1,sd_a_02-target_vaccination_BCG_1,sd_a_02-vaccination_coverage_BCG_1,sd_a_03-target_vaccination_VPO3_1,sd_a_03-vaccination_coverage_VPO3_1,sd_a_04-target_vaccination_DTCHepHib3_1,sd_a_04-vaccination_coverage_DTCHepHib3_1,sd_a_05-target_vaccination_VAR_1,sd_a_05-vaccination_coverage_VAR_1,sd_a_06-target_vaccination_VAA_1,sd_a_06-vaccination_coverage_VAA_1,commune2,sd_b_01-projected_deliveries_2,sd_b_01-assisted_deliveries_2,sd_b_02-target_vaccination_BCG_2,sd_b_02-vaccination_coverage_BCG_2,sd_b_03-target_vaccination_VPO3_2,sd_b_03-vaccination_coverage_VPO_2,sd_b_04-target_vaccination_DTCHepHib3_2,sd_b_04-vaccination_coverage_DTCHepHib3_2,sd_b_05-target_vaccination_VAR_2,sd_b_05-vaccination_coverage_VAR_2,sd_b_06-target_vaccination_VAA_2,sd_b_06-vaccination_coverage_VAA_2,commune3,sd_c_01-projected_deliveries_3,sd_c_01-assisted_deliveries_3,sd_c_02-target_vaccination_BCG_3,sd_c_02-vaccination_coverage_BCG_3,sd_c_03-target_vaccination_VPO3_3,sd_c_03-vaccination_coverage_VPO_3,sd_c_04-target_vaccination_DTCHepHib3_3,sd_c_04-vaccination_coverage_DTCHepHib3_3,sd_c_05-target_vaccination_VAR_3,sd_c_05-vaccination_coverage_VAR_3,sd_c_06-target_vaccination_VAA_3,sd_c_06-vaccination_coverage_VAA_3,commune4,sd_d_01-projected_deliveries_4,sd_d_01-assisted_deliveries_4,sd_d_02-target_vaccination_BCG_4,sd_d_02-vaccination_coverage_BCG_4,sd_d_03-target_vaccination_VPO3_4,sd_d_03-vaccination_coverage_VPO_4,sd_d_04-target_vaccination_DTCHepHib3_4,sd_d_04-vaccination_coverage_DTCHepHib3_4,sd_d_05-target_vaccination_VAR_4,sd_d_05-vaccination_coverage_VAR_4,sd_d_06-target_vaccination_VAA_4,sd_d_06-vaccination_coverage_VAA_4,commune5,sd_e_01-projected_deliveries_5,sd_e_01-assisted_deliveries_5,sd_e_02-target_vaccination_BCG_5,sd_e_02-vaccination_coverage_BCG_5,sd_e_03-target_vaccination_VPO3_5,sd_e_03-vaccination_coverage_VPO_5,sd_e_04-target_vaccination_DTCHepHib3_5,sd_e_04-vaccination_coverage_DTCHepHib3_5,sd_e_05-target_vaccination_VAR_5,sd_e_05-vaccination_coverage_VAR_5,sd_e_06-target_vaccination_VAA_5,sd_e_06-vaccination_coverage_VAA_5,commune6,sd_f_01-projected_deliveries_6,sd_f_01-assisted_deliveries_6,sd_f_02-target_vaccination_BCG_6,sd_f_02-vaccination_coverage_BCG_6,sd_f_03-target_vaccination_VPO3_6,sd_f_03-vaccination_coverage_VPO_6,sd_f_04-target_vaccination_DTCHepHib3_6,sd_f_04-vaccination_coverage_DTCHepHib3_6,sd_f_05-target_vaccination_VAR_6,sd_f_05-vaccination_coverage_VAR_6,sd_f_06-target_vaccination_VAA_6,sd_f_06-vaccination_coverage_VAA_6,commune7,sd_g_01-projected_deliveries_7,sd_g_01-assisted_deliveries_7,sd_g_02-target_vaccination_BCG_7,sd_g_02-vaccination_coverage_BCG_7,sd_g_03-target_vaccination_VPO3_7,sd_g_03-vaccination_coverage_VPO_7,sd_g_04-target_vaccination_DTCHepHib3_7,sd_g_04-vaccination_coverage_DTCHepHib3_7,sd_g_05-target_vaccination_VAR_7,sd_g_05-vaccination_coverage_VAR_7,sd_g_06-target_vaccination_VAA_7,sd_g_06-vaccination_coverage_VAA_7,commune8,sd_h_01-projected_deliveries_8,sd_h_01-assisted_deliveries_8,sd_h_02-target_vaccination_BCG_8,sd_h_02-vaccination_coverage_BCG_8,sd_h_03-target_vaccination_VPO3_8,sd_h_03-vaccination_coverage_VPO_8,sd_h_04-target_vaccination_DTCHepHib3_8,sd_h_04-vaccination_coverage_DTCHepHib3_8,sd_h_05-target_vaccination_VAR_8,sd_h_05-vaccination_coverage_VAR_8,sd_h_06-target_vaccination_VAA_8,sd_h_06-vaccination_coverage_VAA_8,commune9,sd_i_01-projected_deliveries_9,sd_i_01-assisted_deliveries_9,sd_i_02-target_vaccination_BCG_9,sd_i_02-vaccination_coverage_BCG_9,sd_i_03-target_vaccination_VPO3_9,sd_i_03-vaccination_coverage_VPO_9,sd_i_04-target_vaccination_DTCHepHib3_9,sd_i_04-vaccination_coverage_DTCHepHib3_9,sd_i_05-target_vaccination_VAR_9,sd_i_05-vaccination_coverage_VAR_9,sd_i_06-target_vaccination_VAA_9,sd_i_06-vaccination_coverage_VAA_9,information-information_q,information-note_inf,meta-instanceID,KEY
Modifie,1,4/13/2014 18:52,4/13/2014 9:44,4/13/2014 10:00,13-Apr-14,10:bf:48:f5:2c:01,,1,,CAS,COM,BAN,BANFORA,BANFORA,5455,3709,6125,5432,5240,4713,5240,4713,5240,4338,5240,4338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,uuid:6c495e4f-9f86-475b-9f25-a8bec5d8a8f5,uuid:6c495e4f-9f86-475b-9f25-a8bec5d8a8f5
Modifie,2,4/13/2014 18:52,4/13/2014 9:44,4/13/2014 10:00,13-Apr-14,10:bf:48:f5:2c:01,,1,,CAS,COM,BAN,BEREGADOUGOU,BEREGADOUGOU,564,372,535,372,458,372,458,372,458,360,458,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,uuid:6c495e4f-9f86-475b-9f25-a8bec5d8a8f5,uuid:6c495e4f-9f86-475b-9f25-a8bec5d8a8f5
Modifie,3,4/13/2014 18:52,4/13/2014 9:44,4/13/2014 10:00,13-Apr-14,10:bf:48:f5:2c:01,,1,,CAS,COM,BAN,MOUSSODOUGOU,MOUSSODOUGOU,626,425,593,596,508,578,508,578,508,482,508,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,uuid:6c495e4f-9f86-475b-9f25-a8bec5d8a8f5,uuid:6c495e4f-9f86-475b-9f25-a8bec5d8a8f5
Modifie,1,4/10/2014 19:13,4/10/2014 19:03,4/10/2014 19:11,10-Apr-14,ac:22:0b:42:f3:5f,,1,,CAS,COM,BAN,NIANGOLOKO,NIANGOLOKO,3618,3687,3432,4379,2937,4157,2937,4157,2937,4023,2937,4023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,uuid:ae5dae6e-5829-4f13-b88b-d470ac20f9d5,uuid:ae5dae6e-5829-4f13-b88b-d470ac20f9d5
Modifie,5,4/13/2014 18:52,4/13/2014 9:44,4/13/2014 10:00,13-Apr-14,10:bf:48:f5:2c:01,,1,,CAS,COM,BAN,SOUBAKANIEDOUGOU,SOUBAKANIEDOUGOU,1574,1257,1491,1628,1278,1584,1278,1584,1278,1523,1278,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,uuid:6c495e4f-9f86-475b-9f25-a8bec5d8a8f5,uuid:6c495e4f-9f86-475b-9f25-a8bec5d8a8f5
Modifie,6,4/13/2014 18:52,4/13/2014 9:44,4/13/2014 10:00,13-Apr-14,10:bf:48:f5:2c:01,,1,,CAS,COM,BAN,TIEFORA,TIEFORA,2593,1883,2684,3136,2298,2836,2298,2783,2298,2839,2298,2839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,uuid:6c495e4f-9f86-475b-9f25-a8bec5d8a8f5,uuid:6c495e4f-9f86-475b-9f25-a8bec5d8a8f5
Modifie,1,4/8/2014 18:49,4/7/2014 18:43,4/8/2014 18:23,7-Apr-14,ac:22:0b:42:f3:5f,,1,,CAS,COM,MANG,MANGODARA,MANGODARA,2930,2409,2665,3861,2628,3381,2628,3381,2628,3363,2628,3363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,uuid:ef57cfdf-f1a4-4d72-a590-b808afd5fbfe,uuid:ef57cfdf-f1a4-4d72-a590-b808afd5fbfe
Modifie,2,4/8/2014 18:49,4/7/2014 18:43,4/8/2014 18:23,7-Apr-14,ac:22:0b:42:f3:5f,,1,,CAS,COM,MANG,OUO,OUO,1539,895,1440,1839,1440,1605,1440,1605,1440,1539,1440,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,uuid:ef57cfdf-f1a4-4d72-a590-b808afd5fbfe,uuid:ef57cfdf-f1a4-4d72-a590-b808afd5fbfe
Modifie,3,4/8/2014 18:49,4/7/2014 18:43,4/8/2014 18:23,7-Apr-14,ac:22:0b:42:f3:5f,,1,,CAS,COM,MANG,SIDERADOUGOU,SIDERADOUGOU,4479,4135,4192,6151,4192,5997,4192,5925,4192,5777,4192,5670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,uuid:ef57cfdf-f1a4-4d72-a590-b808afd5fbfe,uuid:ef57cfdf-f1a4-4d72-a590-b808afd5fbfe
Modifie,1,4/14/2014 12:30,4/10/2014 5:51,4/14/2014 9:37,10-Apr-14,60:a4:4c:97:25:c1,,1,,CAS,LER,SIN,DAKORO,DAKORO,728,784,691,821,624,786,624,786,624,638,624,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,uuid:4c2ee70b-95b8-48d8-bcb7-643e671ea18a,uuid:4c2ee70b-95b8-48d8-bcb7-643e671ea18a
