COMMUNE,sd_a_01-students_admitted_exam,sd_a_01-total_students_sitting_exam,passing_exam,commune,supplies_received,commune,functional_water,commune,latrines_per_class,commune,assisted_births,commune,vac_total,commune,csps_val,commune,water_access,commune,projected_births
ABSOUYA,179,322,0.555900621,ABSOUYA,18.66666667,ABSOUYA ,66.66666667,ABSOUYA ,0.444444444,ABSOUYA ,0.936691627,ABSOUYA ,1.005238633,ABSOUYA ,0.4,ABSOUYA ,0.824878169,ABSOUYA ,0.445200817
ANDEMTENGA,1139,1592,0.715452261,ANDEMTENGA,21.7,ANDEMTENGA ,65,ANDEMTENGA ,0.5,ANDEMTENGA ,0.844172569,ANDEMTENGA ,1.021876701,ANDEMTENGA ,0,ANDEMTENGA ,0.77257549,ANDEMTENGA ,0.970701867
ARIBINDA,504,667,0.755622189,ARIBINDA,7.333333333,ARIBINDA ,57.14285714,ARIBINDA ,0.571428571,ARIBINDA ,0.592016887,ARIBINDA ,0.98305305,ARIBINDA ,0,ARIBINDA ,0.419895648,ARIBINDA,0.082325849
BAGRE,395,513,0.769980507,BAGRE (TENKODOGO),1.4,BAGRE (TENKODOGO) ,50,BAGRE (TENKODOGO) ,0.8,BAGRE (TENKODOGO) ,1.017418844,BAGRE (TENKODOGO) ,1.185276791,BAGRE ,0.833333333,BAGRE ,0.72667405,BAGRE (TENKODOGO) ,0.378463975
BANE,396,718,0.551532033,BANE,0,BANE ,40,BANE ,0.7,BANE ,0.783621337,BANE ,1.05080696,BANE ,0.333333333,BANE ,0.796656971,BANE ,0.138241923
BANFORA,2018,3851,0.524019735,BANFORA,13.16,BANFORA ,60,BANFORA ,0.8,BANFORA ,0.679926673,BANFORA ,0.910765638,BANFORA ,0.133333333,BANFORA ,0.768744915,BANFORA ,0.415032081
BANI,205,536,0.382462687,BANI,33.25,BANI ,60,BANI ,0.5,BANI ,0.810238305,BANI ,1.042715717,BANI ,0,BANI ,0.618041767,BANI ,0.378934981
BARABOULE,330,390,0.846153846,BARABOULE,1.3125,BARABOULE ,37.5,BARABOULE ,0.4375,BARABOULE ,0.870835769,BARABOULE ,1.066323293,BARABOULE ,1,BARABOULE ,0.516057493,BARABOULE ,0.103448276
BARSALOGHO,505,1188,0.425084175,BARSALOGHO,0,BARSALOGHO ,77.77777778,BARSALOGHO ,0.944444444,BARSALOGHO ,0.807701229,BARSALOGHO ,1.030190007,,,BARSALOGHO ,0.646019415,BARSALOGHO ,0.333797263
BASKOURE,293,475,0.616842105,BASKOURE,21,BASKOURE ,70,BASKOURE ,0.7,BASKOURE ,0.642375169,BASKOURE ,0.867867002,BASKOURE ,1,BASKOURE ,0.976681815,BASKOURE ,0.561403509
BEGUEDO,209,304,0.6875,BEGUEDO,2.333333333,BEGUEDO ,77.77777778,BEGUEDO ,0.555555556,BEGUEDO ,0.843073593,BEGUEDO ,0.989510294,BEGUEDO ,1,BEGUEDO ,0.850462604,BEGUEDO ,0.761904762
BERE,531,695,0.764028777,BERE,1.944444444,BERE ,38.88888889,BERE ,0.555555556,,,,,BERE ,0.5,BERE ,0.658725213,BERE,
BEREGADOUGOU,347,499,0.695390782,BEREGADOUGOU,9.8,BEREGADOUGOU ,60,BEREGADOUGOU ,0.3,BEREGADOUGOU ,0.659574468,BEREGADOUGOU ,0.862157875,BEREGADOUGOU ,0,BEREGADOUGOU ,0.375503971,BEREGADOUGOU ,0.521276596
