province,commune,tax_raised,taxes_forecast_score,number_personnel,procurement,meetings_held2,region,meeting_score,meetings_held,attendance_score,average_attendance,procurement_score,tax_score,taxes_forecast,commune_type,meeting_score2
COM,BANFORA,4551,9.4,7,95.0,0,CAS,5,4,10.0,251,17.0,15.9,98.19,Urbain,0
COM,BEREGADOUGOU,847,0.0,8,76.0,0,CAS,5,4,5.0,60,10.8,4.4,46.09,Rurale,0
COM,MANGODARA,117,0.0,4,76.0,0,CAS,4,3,10.0,186,10.8,1.8,26.15,Rurale,0
COM,MOUSSODOUGOU,330,0.0,3,95.0,0,CAS,5,4,1.2,56,17.0,2.4,36.06,Rurale,0
COM,NIANGOLOKO,1473,6.9,7,48.0,0,CAS,4,3,10.0,124,4.2,7.8,85.39,Urbain,0
COM,OUO,158,0.0,3,100.0,0,CAS,5,4,10.0,119,18.0,1.4,45.97,Rurale,0
COM,SIDERADOUGOU,293,1.4,9,84.0,0,CAS,5,4,10.0,225,11.2,2.5,62.84,Rurale,0
COM,SOUBAKANIEDOUGOU,1025,10.0,5,80.0,0,CAS,0,0,0.0,0,12.0,5.9,141.49,Rurale,0
COM,TIEFORA,168,0.0,6,92.0,0,CAS,5,4,10.0,135,14.6,1.3,30.31,Rurale,0
LER,DAKORO,139,3.7,6,80.0,0,CAS,4,3,0.3,33,12.0,1.6,71.39,Rurale,0
LER,DOUNA,2554,10.0,7,100.0,2,CAS,4,3,1.1,57,18.0,11.6,106.96,Rurale,4
LER,KANKALABA,232,10.0,5,98.0,0,CAS,4,3,1.5,50,16.4,2.8,157.18,Rurale,0
LER,LOUMANA,210,10.0,6,100.0,0,CAS,4,3,10.0,100,18.0,3.0,125.15,Rurale,0
LER,NIANKORODOUGOU,859,10.0,6,81.0,0,CAS,5,4,10.0,103,11.8,4.4,276.57,Rurale,0
LER,OUELENI,150,9.6,5,30.0,0,CAS,5,4,7.0,80,3.0,1.5,96.99,Rurale,0
LER,SINDOU,791,0.0,6,90.0,1,CAS,4,3,4.3,74,15.0,4.5,52.12,Urbain,2
LER,WOLONKOTO,16229,0,5,0.0,0,CAS,5,4,1.5,50,0.0,25.0,0,Rurale,0
BOU,BAGRE (TENKODOGO),2586,10.0,6,96.0,0,CE_E,4,3,0.4,32,16.8,11.5,104.31,Rurale,0
BOU,BANE,343,4.9,6,98.0,0,CE_E,5,4,4.3,74,16.4,2.3,75.41,Rurale,0
BOU,BEGUEDO,556,2.5,6,98.0,4,CE_E,5,4,0.1,39,16.4,3.2,67.62,Rurale,8
BOU,BISSIGA,920,3.4,7,100.0,0,CE_E,5,4,10.0,113,18.0,4.2,73.18,Rurale,0
BOU,BITTOU,0,7.6,7,85.0,0,CE_E,5,4,10.0,198,13.0,0,92.23,Urbain,0
BOU,BOUSSOUMA (GARANGO),522,9.0,7,65.0,0,CE_E,5,4,8.6,94,9.0,3.4,99.83,Rurale,0
BOU,GARANGO,495,5.1,7,71.0,0,CE_E,4,3,10.0,155,9.8,3.5,84.57,Urbain,0
BOU,KOMTOEGA,545,3.3,4,82.0,1,CE_E,5,4,6.5,85,11.6,3.3,73.28,Rurale,2
BOU,NIAOGO,416,10.0,6,94.0,0,CE_E,5,4,1.1,57,14.2,3.9,111.96,Rurale,0
BOU,TENKODOGO,828,5.3,8,86.0,0,CE_E,5,4,10.0,565,12.8,4.4,83.43,Urbain,0
BOU,ZABRE,537,0.0,5,100.0,0,CE_E,5,4,10.0,252,18.0,3.3,41.59,Rurale,0
BOU,ZOAGA,244,6.2,5,89.0,0,CE_E,1,1,1.0,20,12.2,2.8,88.97,Rurale,0
BOU,ZONSE,1555,4.4,3,90.0,0,CE_E,5,4,10.0,136,15.0,7.6,78.19,Rurale,0
KOUL,COMIN-YANGA,364,10.0,5,63.0,0,CE_E,5,4,10.0,221,7.4,2.2,177.88,Rurale,0
KOUL,DOURTENGA,1599,0.0,4,78.0,0,CE_E,4,3,4.7,67,10.4,7.5,16.66,Rurale,0
KOUL,LALGAYE,2792,0.0,7,95.0,0,CE_E,5,4,8.6,94,17.0,11.0,53.19,Rurale,0
KOUL,OUARGAYE,0,0.0,6,85.0,0,CE_E,5,4,10.0,100,13.0,0,31.09,Urbain,0
KOUL,SANGA,203,10.0,6,77.0,0,CE_E,5,4,10.0,179,10.6,3.0,120.95,Rurale,0
KOUL,SOUDOUGUI,198,10.0,7,73.0,0,CE_E,4,3,10.0,160,9.4,1.0,204.7,Rurale,0
KOUL,YARGATENGA,525,0,5,87.0,0,CE_E,5,4,6.3,87,12.6,3.4,0,Rurale,0
KOUL,YONDE,1007,4.4,5,100.0,0,CE_E,5,4,10.0,144,18.0,6.0,78.19,Rurale,0
KOUR,ANDEMTENGA,557,10.0,5,98.0,1,CE_E,5,4,10.0,164,16.4,3.2,108.83,Rurale,2
KOUR,BASKOURE,1501,9.0,5,85.0,2,CE_E,5,4,4.3,75,13.0,7.7,99.8,Rurale,4
KOUR,DIALGAYE,247,9.0,7,89.0,1,CE_E,5,4,10.0,187,12.2,2.8,99.89,Rurale,2
KOUR,GOUNGHIN,1004,10.0,8,98.0,1,CE_E,5,4,10.0,218,16.4,6.0,103.17,Rurale,2
KOUR,KANDO,631,10.0,3,97.0,1,CE_E,3,2,4.7,67,16.6,4.9,111.19,Rurale,2
KOUR,KOUPELA,2294,4.3,7,88.0,0,CE_E,5,4,10.0,266,12.4,10.5,78.46,Urbain,0
KOUR,POUYTENGA,2141,6.2,7,84.0,1,CE_E,4,3,10.0,138,11.2,9.3,89.03,Urbain,2
KOUR,TENSOBENTENGA,654,5.2,5,100.0,1,CE_E,5,4,10.0,155,18.0,4.9,84.23,Rurale,2
KOUR,YARGO,575,7.6,5,95.0,0,CE_E,5,4,10.0,119,17.0,3.1,91.9,Rurale,0
BAM,BOURZANGA,391,0,6,100.0,0,CE_N,5,4,10.0,250,18.0,2.0,0,Rurale,0
BAM,GUIBARE,1008,0,5,85.0,0,CE_N,4,3,4.2,76,13.0,6.0,0,Rurale,0
BAM,KONGOUSSI,2093,0,8,92.0,0,CE_N,5,4,10.0,394,14.6,9.5,0,Urbain,0
BAM,NASSERE,732,10.0,5,90.0,1,CE_N,5,4,10.0,100,15.0,4.7,140.09,Rurale,2
BAM,ROLLO,537,0,7,100.0,1,CE_N,5,4,10.0,131,18.0,3.3,0,Rurale,2
BAM,ROUKO,1540,0,2,100.0,0,CE_N,5,4,1.4,52,18.0,7.7,0,Rurale,0
BAM,SABCE,2744,5.7,5,65.0,1,CE_N,3,2,10.0,114,9.0,11.1,81.68,Rurale,2
BAM,TIKARE,1835,0,6,100.0,0,CE_N,5,4,10.0,206,18.0,8.8,0,Rurale,0
BAM,ZIMTENGA,432,1.4,5,70.0,0,CE_N,5,4,10.0,223,10.0,3.8,62.79,Rurale,0
NAM,BOALA,43,0.0,4,70.0,1,CE_N,5,4,6.3,87,10.0,0.0,27.1,Rurale,2
NAM,BOULSA,590,7.5,5,62.0,0,CE_N,5,4,10.0,251,7.6,3.0,92.47,Urbain,0
